timestamp,action,qty,price,pnl
1772124780,entry,-3,22.000000,-0.300000
1772125080,exit,1,20.500000,1.400000
1772125140,exit,1,19.500000,2.400000
1772125440,exit,1,19.500000,2.400000
1772126880,entry,3,13.000000,-0.300000
1772126880,exit,-1,22.500000,9.400000
1772126940,exit,-1,22.500000,9.400000
1772127000,exit,-1,24.000000,10.900000
1772128200,entry,-3,29.500000,-0.300000
1772128260,exit,1,28.000000,1.400000
1772128260,exit,1,27.500000,1.900000
1772128320,exit,1,27.500000,1.900000
1772132280,entry,-3,30.000000,-0.300000
1772132340,exit,1,24.500000,5.400000
1772132400,exit,1,25.500000,4.400000
1772132460,exit,1,24.500000,5.400000
1772135460,entry,-3,30.000000,-0.300000
1772135520,stop_loss,3,64.500000,-103.800000
1772196900,entry,-3,24.000000,-0.300000
1772196960,stop_loss,3,27.500000,-10.800000
1772197200,entry,-3,24.000000,-0.300000
1772197260,stop_loss,3,31.500000,-22.800000
1772213880,entry,-3,40.000000,-0.300000
1772213880,exit,1,14.000000,25.900000
1772213940,stop_loss,2,49.500000,-19.200000
1772215980,entry,-3,12.000000,-0.300000
1772216040,stop_loss,3,33.500000,-64.800000
1772223420,entry,-3,15.000000,-0.300000
1772223480,exit,1,1.500000,13.400000
1772223540,exit,1,1.000000,13.900000
1772223600,exit,1,1.500000,13.400000
1772271240,entry,-3,27.500000,-0.300000
1772272200,exit,1,27.500000,-0.100000
1772274180,stop_loss,2,31.000000,-7.200000
1772301900,entry,3,31.500000,-0.300000
1772301900,stop_loss,-3,13.000000,-55.800000
1772301960,entry,3,31.500000,-0.300000
1772302080,stop_loss,-3,7.500000,-72.300000
1772302140,entry,3,31.500000,-0.300000
1772302200,stop_loss,-3,9.500000,-66.300000
1772311320,entry,-3,35.500000,-0.300000
1772311380,stop_loss,3,50.500000,-45.300000
1772314080,entry,3,33.500000,-0.300000
1772314140,stop_loss,-3,8.000000,-76.800000
1772314260,entry,3,33.500000,-0.300000
1772314320,stop_loss,-3,5.000000,-85.800000
1772314560,entry,-3,33.000000,-0.300000
1772314620,exit,1,6.500000,26.400000
1772314680,exit,1,8.500000,24.400000
1772314740,exit,1,8.500000,24.400000
1772390700,entry,-3,40.500000,-0.300000
1772390760,stop_loss,3,60.500000,-60.300000
1772390940,entry,-3,40.500000,-0.300000
1772391000,stop_loss,3,99.500000,-177.300000
1772393760,entry,-3,41.000000,-0.300000
1772393820,stop_loss,3,93.500000,-157.800000
1772393880,entry,-3,40.500000,-0.300000
1772393940,stop_loss,3,73.500000,-99.300000
1772463840,entry,2,90.500000,-0.200000
1772463840,stop_loss,-2,10.000000,-161.200000
1772463900,entry,2,92.000000,-0.200000
1772463960,stop_loss,-2,11.000000,-162.200000
1772464020,entry,2,91.000000,-0.200000
1772464080,stop_loss,-2,4.500000,-173.200000
1772565780,entry,-3,11.000000,-0.300000
1772565840,stop_loss,3,44.500000,-100.800000
1772565900,entry,-3,11.000000,-0.300000
1772565960,stop_loss,3,55.500000,-133.800000
1772566020,entry,-3,11.000000,-0.300000
1772566080,stop_loss,3,43.500000,-97.800000
1772566200,entry,-3,11.000000,-0.300000
1772566260,stop_loss,3,52.000000,-123.300000
1772570100,entry,-3,10.500000,-0.300000
1772570160,stop_loss,3,54.500000,-132.300000
