run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0001,ok,,121,2.000000,1,1.500000,50,-166.000000,-0.016600,9834.000000,80,0.050000,-2.075000,0.016600,-0.009832,885,725,0,464,160
run-0002,ok,,157,2.000000,1,1.500000,100,-166.000000,-0.016600,9834.000000,80,0.050000,-2.075000,0.016600,-0.009832,885,725,0,464,160
run-0003,ok,,91,2.000000,1,1.500000,150,-166.000000,-0.016600,9834.000000,80,0.050000,-2.075000,0.016600,-0.009832,885,725,0,464,160
run-0004,ok,,128,2.000000,1,3.000000,50,-219.600000,-0.021960,9780.400000,68,0.132353,-3.229412,0.026930,-0.005152,1036,900,0,669,136
run-0005,ok,,92,2.000000,1,3.000000,100,-264.600000,-0.026460,9735.400000,68,0.132353,-3.891176,0.027400,-0.005920,971,835,0,620,136
run-0006,ok,,128,2.000000,1,3.000000,150,-264.600000,-0.026460,9735.400000,68,0.132353,-3.891176,0.027400,-0.005919,962,826,0,619,136
run-0007,ok,,89,2.000000,1,4.500000,50,-238.800000,-0.023880,9761.200000,64,0.109375,-3.731250,0.028850,-0.005742,963,835,0,622,128
run-0008,ok,,89,2.000000,1,4.500000,100,-271.800000,-0.027180,9728.200000,64,0.125000,-4.246875,0.028120,-0.006203,914,786,0,597,128
run-0009,ok,,128,2.000000,1,4.500000,150,-265.800000,-0.026580,9734.200000,64,0.125000,-4.153125,0.027520,-0.006055,860,732,0,555,128
run-0010,ok,,98,2.000000,2,1.500000,50,-173.000000,-0.017300,9827.000000,82,0.085366,-2.109756,0.021520,-0.005233,993,815,17,908,300
run-0011,ok,,130,2.000000,2,1.500000,100,-173.000000,-0.017300,9827.000000,82,0.085366,-2.109756,0.021520,-0.005233,977,799,17,892,300
run-0012,ok,,97,2.000000,2,1.500000,150,-173.000000,-0.017300,9827.000000,82,0.085366,-2.109756,0.021520,-0.005233,977,799,17,892,300
run-0013,ok,,130,2.000000,2,3.000000,50,-384.000000,-0.038400,9616.000000,67,0.149254,-5.731343,0.047440,-0.003967,1381,1214,16,1436,250
run-0014,ok,,100,2.000000,2,3.000000,100,-472.000000,-0.047200,9528.000000,67,0.164179,-7.044776,0.048180,-0.004712,1293,1125,17,1327,250
run-0015,ok,,90,2.000000,2,3.000000,150,-482.600000,-0.048260,9517.400000,66,0.166667,-7.312121,0.049240,-0.004825,1207,1043,14,1244,246
run-0016,ok,,128,2.000000,2,4.500000,50,-422.800000,-0.042280,9577.200000,62,0.145161,-6.819355,0.051320,-0.004710,1185,1032,16,1243,228
run-0017,ok,,94,2.000000,2,4.500000,100,-479.200000,-0.047920,9520.800000,60,0.200000,-7.986667,0.048900,-0.005090,1187,1036,16,1240,222
run-0018,ok,,130,2.000000,2,4.500000,150,-479.800000,-0.047980,9520.200000,59,0.203390,-8.132203,0.048960,-0.005089,1052,903,14,1067,218
run-0019,ok,,126,2.000000,4,1.500000,50,-302.600000,-0.030260,9697.400000,83,0.084337,-3.645783,0.032600,-0.004139,1023,832,43,1625,506
run-0020,ok,,176,2.000000,4,1.500000,100,-326.600000,-0.032660,9673.400000,83,0.084337,-3.934940,0.032660,-0.004474,1016,825,43,1595,506
run-0021,ok,,210,2.000000,4,1.500000,150,-326.600000,-0.032660,9673.400000,83,0.084337,-3.934940,0.032660,-0.004474,1016,825,43,1595,506
run-0022,ok,,304,2.000000,4,3.000000,50,-771.200000,-0.077120,9228.800000,62,0.193548,-12.438710,0.094300,-0.003094,1454,1267,46,2499,402
run-0023,ok,,312,2.000000,4,3.000000,100,-949.600000,-0.094960,9050.400000,60,0.200000,-15.826667,0.096020,-0.003834,1416,1232,46,2365,386
run-0024,ok,,218,2.000000,4,3.000000,150,-960.800000,-0.096080,9039.200000,59,0.220339,-16.284746,0.097140,-0.003889,1270,1091,41,2048,378
run-0025,ok,,191,2.000000,4,4.500000,50,-864.200000,-0.086420,9135.800000,59,0.203390,-14.647458,0.103600,-0.004037,1251,1080,41,2099,372
run-0026,ok,,128,2.000000,4,4.500000,100,-951.400000,-0.095140,9048.600000,56,0.232143,-16.989286,0.096200,-0.004202,1352,1183,41,2199,354
run-0027,ok,,130,2.000000,4,4.500000,150,-934.400000,-0.093440,9065.600000,54,0.259259,-17.303704,0.094500,-0.004116,1100,939,37,1757,334
run-0028,ok,,109,2.500000,1,1.500000,50,-120.000000,-0.012000,9880.000000,45,0.022222,-2.666667,0.012000,-0.010486,500,410,0,254,90
run-0029,ok,,131,2.500000,1,1.500000,100,-120.000000,-0.012000,9880.000000,45,0.022222,-2.666667,0.012000,-0.010486,500,410,0,254,90
run-0030,ok,,162,2.500000,1,1.500000,150,-120.000000,-0.012000,9880.000000,45,0.022222,-2.666667,0.012000,-0.010486,500,410,0,254,90
run-0031,ok,,145,2.500000,1,3.000000,50,-148.600000,-0.014860,9851.400000,43,0.093023,-3.455814,0.019830,-0.004639,594,508,0,371,86
run-0032,ok,,154,2.500000,1,3.000000,100,-193.600000,-0.019360,9806.400000,43,0.093023,-4.502326,0.020300,-0.005561,606,520,0,385,86
run-0033,ok,,129,2.500000,1,3.000000,150,-193.600000,-0.019360,9806.400000,43,0.093023,-4.502326,0.020300,-0.005560,592,506,0,377,86
run-0034,ok,,126,2.500000,1,4.500000,50,-138.600000,-0.013860,9861.400000,43,0.116279,-3.223256,0.018830,-0.004174,606,520,0,396,86
run-0035,ok,,126,2.500000,1,4.500000,100,-183.600000,-0.018360,9816.400000,43,0.116279,-4.269767,0.019300,-0.005118,639,553,0,437,86
run-0036,ok,,126,2.500000,1,4.500000,150,-177.400000,-0.017740,9822.600000,42,0.119048,-4.223810,0.018680,-0.004940,565,481,0,371,84
run-0037,ok,,125,2.500000,2,1.500000,50,-223.200000,-0.022320,9776.800000,45,0.022222,-4.960000,0.022320,-0.016260,522,429,10,469,162
run-0038,ok,,124,2.500000,2,1.500000,100,-223.200000,-0.022320,9776.800000,45,0.022222,-4.960000,0.022320,-0.016260,522,429,10,469,162
run-0039,ok,,125,2.500000,2,1.500000,150,-223.200000,-0.022320,9776.800000,45,0.022222,-4.960000,0.022320,-0.016260,522,429,10,469,162
run-0040,ok,,127,2.500000,2,3.000000,50,-269.200000,-0.026920,9730.800000,42,0.095238,-6.409524,0.035960,-0.004240,742,643,10,753,152
run-0041,ok,,128,2.500000,2,3.000000,100,-356.200000,-0.035620,9643.800000,42,0.119048,-8.480952,0.036600,-0.005146,772,673,10,810,152
run-0042,ok,,126,2.500000,2,3.000000,150,-377.200000,-0.037720,9622.800000,42,0.119048,-8.980952,0.038700,-0.005458,709,610,9,743,152
run-0043,ok,,126,2.500000,2,4.500000,50,-217.400000,-0.021740,9782.600000,40,0.175000,-5.435000,0.030780,-0.003344,754,657,10,771,144
run-0044,ok,,125,2.500000,2,4.500000,100,-313.400000,-0.031340,9686.600000,40,0.200000,-7.835000,0.032320,-0.004461,843,746,10,919,144
run-0045,ok,,126,2.500000,2,4.500000,150,-322.000000,-0.032200,9678.000000,39,0.205128,-8.256410,0.033180,-0.004588,687,592,9,707,140
run-0046,ok,,128,2.500000,4,1.500000,50,-373.400000,-0.037340,9626.600000,46,0.021739,-8.117391,0.037340,-0.021849,539,442,25,859,264
run-0047,ok,,127,2.500000,4,1.500000,100,-373.400000,-0.037340,9626.600000,46,0.021739,-8.117391,0.037340,-0.021849,539,442,25,859,264
run-0048,ok,,125,2.500000,4,1.500000,150,-373.400000,-0.037340,9626.600000,46,0.021739,-8.117391,0.037340,-0.021849,539,442,25,859,264
run-0049,ok,,119,2.500000,4,3.000000,50,-481.200000,-0.048120,9518.800000,41,0.097561,-11.736585,0.065300,-0.003559,829,717,30,1324,242
run-0050,ok,,127,2.500000,4,3.000000,100,-651.200000,-0.065120,9348.800000,41,0.121951,-15.882927,0.066180,-0.004457,829,717,29,1465,242
run-0051,ok,,93,2.500000,4,3.000000,150,-695.200000,-0.069520,9304.800000,41,0.121951,-16.956098,0.070580,-0.004782,752,641,27,1267,242
run-0052,ok,,119,2.500000,4,4.500000,50,-409.400000,-0.040940,9590.600000,38,0.157895,-10.773684,0.058120,-0.002929,849,743,27,1332,224
run-0053,ok,,126,2.500000,4,4.500000,100,-586.400000,-0.058640,9413.600000,38,0.184211,-15.431579,0.059700,-0.003938,894,788,26,1520,224
run-0054,ok,,127,2.500000,4,4.500000,150,-605.600000,-0.060560,9394.400000,37,0.189189,-16.367568,0.061620,-0.004079,724,621,24,1173,216
run-0055,ok,,124,3.000000,1,1.500000,50,-55.000000,-0.005500,9945.000000,25,0.040000,-2.200000,0.006400,-0.004268,340,290,0,168,50
run-0056,ok,,126,3.000000,1,1.500000,100,-55.000000,-0.005500,9945.000000,25,0.040000,-2.200000,0.006400,-0.004268,340,290,0,168,50
run-0057,ok,,125,3.000000,1,1.500000,150,-55.000000,-0.005500,9945.000000,25,0.040000,-2.200000,0.006400,-0.004268,340,290,0,168,50
run-0058,ok,,129,3.000000,1,3.000000,50,-58.800000,-0.005880,9941.200000,24,0.166667,-2.450000,0.008180,-0.003912,396,348,0,228,48
run-0059,ok,,130,3.000000,1,3.000000,100,-58.800000,-0.005880,9941.200000,24,0.166667,-2.450000,0.008280,-0.003911,397,349,0,229,48
run-0060,ok,,129,3.000000,1,3.000000,150,-58.800000,-0.005880,9941.200000,24,0.166667,-2.450000,0.008280,-0.003908,397,349,0,233,48
run-0061,ok,,129,3.000000,1,4.500000,50,-46.000000,-0.004600,9954.000000,25,0.200000,-1.840000,0.009800,-0.002739,395,345,0,233,50
run-0062,ok,,130,3.000000,1,4.500000,100,-45.000000,-0.004500,9955.000000,25,0.200000,-1.800000,0.009800,-0.002675,429,379,0,273,50
run-0063,ok,,130,3.000000,1,4.500000,150,-45.000000,-0.004500,9955.000000,25,0.200000,-1.800000,0.009800,-0.002673,374,324,0,222,50
run-0064,ok,,128,3.000000,2,1.500000,50,-104.000000,-0.010400,9896.000000,25,0.040000,-4.160000,0.010400,-0.005071,363,309,6,313,90
run-0065,ok,,130,3.000000,2,1.500000,100,-104.000000,-0.010400,9896.000000,25,0.040000,-4.160000,0.010400,-0.005071,363,309,6,313,90
run-0066,ok,,128,3.000000,2,1.500000,150,-104.000000,-0.010400,9896.000000,25,0.040000,-4.160000,0.010400,-0.005071,363,309,6,313,90
run-0067,ok,,134,3.000000,2,3.000000,50,-102.200000,-0.010220,9897.800000,23,0.173913,-4.443478,0.012549,-0.003712,481,425,6,456,82
run-0068,ok,,128,3.000000,2,3.000000,100,-101.200000,-0.010120,9898.800000,23,0.173913,-4.400000,0.012649,-0.003673,532,475,7,518,82
run-0069,ok,,128,3.000000,2,3.000000,150,-101.200000,-0.010120,9898.800000,23,0.173913,-4.400000,0.012649,-0.003671,482,426,6,474,82
run-0070,ok,,128,3.000000,2,4.500000,50,-63.200000,-0.006320,9936.800000,23,0.260870,-2.747826,0.011549,-0.002173,488,431,6,460,82
run-0071,ok,,127,3.000000,2,4.500000,100,-62.200000,-0.006220,9937.800000,23,0.260870,-2.704348,0.011649,-0.002135,569,511,7,594,82
run-0072,ok,,127,3.000000,2,4.500000,150,-62.200000,-0.006220,9937.800000,23,0.260870,-2.704348,0.011649,-0.002133,467,410,6,446,82
run-0073,ok,,126,3.000000,4,1.500000,50,-167.200000,-0.016720,9832.800000,25,0.040000,-6.688000,0.019368,-0.004074,375,319,16,560,142
run-0074,ok,,127,3.000000,4,1.500000,100,-167.200000,-0.016720,9832.800000,25,0.040000,-6.688000,0.019368,-0.004074,375,319,16,560,142
run-0075,ok,,126,3.000000,4,1.500000,150,-167.200000,-0.016720,9832.800000,25,0.040000,-6.688000,0.019368,-0.004074,375,319,16,560,142
run-0076,ok,,130,3.000000,4,3.000000,50,-172.000000,-0.017200,9828.000000,23,0.173913,-7.478261,0.018868,-0.002992,547,481,17,783,130
run-0077,ok,,130,3.000000,4,3.000000,100,-170.000000,-0.017000,9830.000000,23,0.173913,-7.391304,0.018865,-0.002953,561,495,17,933,130
run-0078,ok,,173,3.000000,4,3.000000,150,-170.000000,-0.017000,9830.000000,23,0.173913,-7.391304,0.018865,-0.002952,511,446,16,789,130
run-0079,ok,,178,3.000000,4,4.500000,50,-143.000000,-0.014300,9857.000000,23,0.217391,-6.217391,0.018814,-0.002348,556,489,17,774,130
run-0080,ok,,148,3.000000,4,4.500000,100,-141.000000,-0.014100,9859.000000,23,0.217391,-6.130435,0.018810,-0.002310,600,533,17,984,130
run-0081,ok,,133,3.000000,4,4.500000,150,-141.000000,-0.014100,9859.000000,23,0.217391,-6.130435,0.018810,-0.002309,498,432,16,736,130
run-0082,ok,,128,3.500000,1,1.500000,50,-37.400000,-0.003740,9962.600000,17,0.058824,-2.200000,0.004980,-0.003396,220,186,0,116,34
run-0083,ok,,124,3.500000,1,1.500000,100,-37.400000,-0.003740,9962.600000,17,0.058824,-2.200000,0.004980,-0.003396,220,186,0,116,34
run-0084,ok,,130,3.500000,1,1.500000,150,-37.400000,-0.003740,9962.600000,17,0.058824,-2.200000,0.004980,-0.003396,220,186,0,116,34
run-0085,ok,,125,3.500000,1,3.000000,50,-23.400000,-0.002340,9976.600000,17,0.235294,-1.376471,0.005080,-0.002080,240,206,0,138,34
run-0086,ok,,135,3.500000,1,3.000000,100,-23.400000,-0.002340,9976.600000,17,0.235294,-1.376471,0.005080,-0.002080,240,206,0,138,34
run-0087,ok,,121,3.500000,1,3.000000,150,-23.400000,-0.002340,9976.600000,17,0.235294,-1.376471,0.005080,-0.002080,240,206,0,138,34
run-0088,ok,,130,3.500000,1,4.500000,50,7.600000,0.000760,10007.600000,17,0.294118,0.447059,0.004880,0.000682,240,206,0,138,34
run-0089,ok,,157,3.500000,1,4.500000,100,6.600000,0.000660,10006.600000,17,0.294118,0.388235,0.004980,0.000600,279,245,0,177,34
run-0090,ok,,125,3.500000,1,4.500000,150,6.600000,0.000660,10006.600000,17,0.294118,0.388235,0.004980,0.000600,230,196,0,128,34
run-0091,ok,,131,3.500000,2,1.500000,50,-70.000000,-0.007000,9930.000000,17,0.058824,-4.117647,0.007040,-0.005456,235,198,5,208,60
