run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0001,ok,,197,2.000000,1,1.500000,50,-225.000000,-0.022500,9775.000000,70,0.057143,-3.214286,0.022500,-0.011881,587,447,0,587,140
run-0002,ok,,178,2.000000,1,1.500000,100,-225.000000,-0.022500,9775.000000,70,0.057143,-3.214286,0.022500,-0.011880,580,440,0,580,140
run-0003,ok,,178,2.000000,1,1.500000,150,-225.000000,-0.022500,9775.000000,70,0.057143,-3.214286,0.022500,-0.011880,589,449,0,589,140
run-0004,ok,,177,2.000000,1,3.000000,50,-229.800000,-0.022980,9770.200000,59,0.203390,-3.894915,0.025900,-0.007413,638,520,0,638,118
run-0005,ok,,125,2.000000,1,3.000000,100,-260.800000,-0.026080,9739.200000,59,0.203390,-4.420339,0.029000,-0.008109,631,513,0,631,118
run-0006,ok,,126,2.000000,1,3.000000,150,-260.800000,-0.026080,9739.200000,59,0.203390,-4.420339,0.029000,-0.008109,640,522,0,640,118
run-0007,ok,,126,2.000000,1,4.500000,50,-285.400000,-0.028540,9714.600000,57,0.210526,-5.007018,0.028660,-0.008970,606,492,0,606,114
run-0008,ok,,159,2.000000,1,4.500000,100,-314.000000,-0.031400,9686.000000,55,0.218182,-5.709091,0.031520,-0.009525,591,481,0,591,110
run-0009,ok,,126,2.000000,1,4.500000,150,-314.000000,-0.031400,9686.000000,55,0.218182,-5.709091,0.031520,-0.009525,600,490,0,600,110
run-0010,ok,,126,2.000000,2,1.500000,50,-371.000000,-0.037100,9629.000000,65,0.061538,-5.707692,0.037800,-0.009496,609,465,13,1104,240
run-0011,ok,,127,2.000000,2,1.500000,100,-371.000000,-0.037100,9629.000000,65,0.061538,-5.707692,0.037800,-0.009496,602,458,13,1090,240
