timestamp,action,qty,price,pnl
1765475580,entry,3,3.000000,-0.300000
1765478040,exit,-1,3.000000,-0.100000
1765481640,max_hold,-2,3.000000,-0.200000
1765488000,entry,-3,3.500000,-0.300000
1765489260,exit,1,3.500000,-0.100000
1765496880,max_hold,2,4.000000,-1.200000
1765498800,entry,3,4.000000,-0.300000
1765506120,max_hold,-3,3.000000,-3.300000
1765507440,entry,-3,3.000000,-0.300000
1765516080,max_hold,3,4.000000,-3.300000
1765517280,entry,3,3.000000,-0.300000
1765517460,exit,-1,3.000000,-0.100000
1765523160,exit,-1,3.500000,0.400000
1765524300,max_hold,-1,1.000000,-2.100000
1765537800,entry,-3,1.500000,-0.300000
1765542420,exit,1,1.500000,-0.100000
1765542540,exit,1,1.000000,0.400000
1765543800,max_hold,1,1.000000,0.400000
1765548180,entry,-3,0.000000,-0.300000
1765551660,stop_loss,3,28.000000,-84.300000
1765551780,entry,-3,0.000000,-0.300000
1765552200,stop_loss,3,3.500000,-10.800000
1765554060,entry,-3,0.000000,-0.300000
1765554120,stop_loss,3,4.000000,-12.300000
1765554240,entry,-3,0.500000,-0.300000
1765554420,stop_loss,3,4.000000,-10.800000
1765557660,entry,-3,0.000000,-0.300000
1765557720,stop_loss,3,7.500000,-22.800000
1765595040,entry,-3,0.000000,-0.300000
1765601580,max_hold,3,1.000000,-3.300000
1765602180,entry,-3,0.000000,-0.300000
1765613760,max_hold,3,1.000000,-3.300000
1765618980,entry,-3,0.000000,-0.300000
1765625340,max_hold,3,1.000000,-3.300000
1765638120,entry,-3,0.500000,-0.300000
1765638180,stop_loss,3,30.000000,-88.800000
1765638240,entry,-3,0.500000,-0.300000
1765638300,stop_loss,3,35.000000,-103.800000
1765638420,entry,-3,0.000000,-0.300000
1765638480,stop_loss,3,38.500000,-115.800000
1765638960,entry,-3,0.500000,-0.300000
1765639080,stop_loss,3,38.500000,-114.300000
1765639200,entry,-3,0.500000,-0.300000
1765639320,stop_loss,3,39.000000,-115.800000
1765678020,entry,-3,38.500000,-0.300000
1765684080,max_hold,3,41.000000,-7.800000
1765691880,entry,-3,40.000000,-0.300000
1765694280,exit,1,40.000000,-0.100000
1765695060,exit,1,39.500000,0.400000
1765695180,exit,1,39.000000,0.900000
1765698000,entry,3,34.500000,-0.300000
1765698120,stop_loss,-3,28.500000,-18.300000
1765698540,entry,3,22.500000,-0.300000
1765699200,stop_loss,-3,18.500000,-12.300000
1765704600,entry,-3,39.000000,-0.300000
